NNN,slug,pillar,format,date,time_bucket,status,image,carousel,buffer_post_id
001,welcome-mascot,Запуск,image,2026-07-08,день,scheduled,images/001-welcome-mascot.png,,6a4e5a7276cab589270e176e
002,aso-wwdc-banner,Новости,carousel,2026-07-09,день,planned,,carousels/002-aso-wwdc-banner.pdf,
003,competitor-creatives-claude,AI в работе,image,2026-07-14,утро,planned,images/003-competitor-creatives-claude.png,,
004,fresh-news,Новости,text,2026-07-15,день,planned,,,
005,meta-install-signal,Разборы,carousel,2026-07-16,день,planned,,carousels/005-meta-install-signal.pdf,
006,cac-explain-scaling,Fun,text,2026-07-21,день,planned,,,
007,single-channel-risk,Мнения,text,2026-07-22,день,planned,,,
008,creative-test-levels,Разборы,carousel,2026-07-23,день,planned,,carousels/008-creative-test-levels.pdf,
009,meta-ai-creative,AI в работе,text,2026-07-28,утро,planned,,,
010,cac-benchmarks,Новости,text,2026-07-29,день,planned,,,
011,attribution-overlap,Разборы,carousel,2026-07-30,день,planned,,carousels/011-attribution-overlap.pdf,
012,skan-anyone,Fun,text,2026-08-04,день,planned,,,
013,aso-ua-merged,Мнения,text,2026-08-05,день,planned,,,
014,signal-optimization,Разборы,carousel,2026-08-06,день,planned,,carousels/014-signal-optimization.pdf,
015,claude-for-aso,AI в работе,text,2026-08-11,утро,planned,,,
016,platform-convergence,Новости,text,2026-08-12,день,planned,,,
017,meta-lattice,Разборы,carousel,2026-08-13,день,planned,,carousels/017-meta-lattice.pdf,
018,ai-tools-unmeasured,Fun,text,2026-08-18,день,planned,,,
019,three-sources-meme,Fun,image,2026-08-19,день,planned,images/019-three-sources-meme.png,,
